id,text,source,word_count,dialect
SASAK_SENT_000023,Make kumpulangne selapuq imam kepale dait ahli-ahli Taurat bangse Yahudi.,alkitab_sasak_Mat_2_4,10,general
SASAK_SENT_000024,"Terus Raje Herodes beketuan leq ie pade, ""Leq mbe Almasih gen tebijeang?""",alkitab_sasak_Mat_2_4,12,general
SASAK_SENT_000025,"Jawab ie pade, ""Leq kote Betlehem, leq negeri Yudea.",alkitab_sasak_Mat_2_5,9,general
SASAK_SENT_000026,"Sengaq maraq niki araq tetulis siq sopoq nabi,",alkitab_sasak_Mat_2_5,8,general
SASAK_SENT_000027,"'Hai Betlehem, leq negeri Yehuda, side ndeq saq paling kodeq leq antare ie pade saq mrentah Yehuda.",alkitab_sasak_Mat_2_6,17,general
SASAK_SENT_000028,"Sengaq leman side gen dateng sopoq pemimpin saq gen mimpin umat Tiang Israel.'""",alkitab_sasak_Mat_2_6,13,general
SASAK_SENT_000029,"Sesampun nerimaq penjelasan nike, Herodes secare tedoq-tedoq ngempoh ahli-ahli bintang leman Timuq nike, dait secare teliti gati Herodes beketuan leq ie pade, piran bintang nike mulai penggitan.",alkitab_sasak_Mat_2_7,27,general
SASAK_SENT_000030,"Sesampun nike ie pade teprentah siq Herodes ojok Betlehem, siq pesen niki, ""Lumbar dait selidik pacu-pacu hal-hal mengenai Kanak nike.",alkitab_sasak_Mat_2_8,20,general
SASAK_SENT_000031,"Lamun side pade sampun bedait kance Ie, sampeang hal nike tipaq tiang, adeq tiang endah dateng nyembah Ie.""",alkitab_sasak_Mat_2_8,18,general
SASAK_SENT_000032,Beterus ie pade lumbar.,alkitab_sasak_Mat_2_9,4,general
SASAK_SENT_000033,Ie pade serioq malik bintang saq sampun ie pade serioq sendeqmanne leq sedi timuq.,alkitab_sasak_Mat_2_9,14,general
SASAK_SENT_000034,Ie pade cemoh gati serioq bintang nike!,alkitab_sasak_Mat_2_9,7,general
SASAK_SENT_000035,"Bintang nike terus lampaq senjuluq ie pade, terus ndot tepat leq atas taoq Kanak nike.",alkitab_sasak_Mat_2_9,15,general
SASAK_SENT_000036,"Ie pade tame ojok dalem bale nike dait serioqne Kanak nike kance Mariam, mamiq bini-Ne.",alkitab_sasak_Mat_2_11,15,general
SASAK_SENT_000037,"Ie pade sujut nyembah Kanak nike, dait bukaq tangkaq dowene, terus ngaturang leq Ie, emas, menyan dait mur.",alkitab_sasak_Mat_2_11,18,general
SASAK_SENT_000038,Allah peringet ie pade langan ngimpi adeq ie pade ndeq tulak ojok Herodes.,alkitab_sasak_Mat_2_12,13,general
SASAK_SENT_000039,Jari ie pade uleq ojok negerine liwat langan saq lain.,alkitab_sasak_Mat_2_12,10,general
SASAK_SENT_000040,"Sesampun ahli-ahli bintang nike lumbar, malaekat Tuhan rauh ojok Yusup leq dalem impi.",alkitab_sasak_Mat_2_13,13,general
SASAK_SENT_000041,"Malaekat nike bemanik, ""Herodes beniat boyaq Kanak nike jari nyemateq Ie, keranaq nike becat ures, jauq Kanak nike dait mamiq bini-Ne beterus pelai ojok Mesir.",alkitab_sasak_Mat_2_13,25,general
SASAK_SENT_000042,"Ndot leq taoq nike jangke Tiang dateng badaq side malik.""",alkitab_sasak_Mat_2_13,10,general
SASAK_SENT_000043,"Yusup ures, dait kelem nike juaq ie jauq Kanak nike dait mamiq bini-Ne ngalih ojok Mesir.",alkitab_sasak_Mat_2_14,16,general
SASAK_SENT_000044,Ie pade ndot leq derike jangke Herodes ninggal.,alkitab_sasak_Mat_2_15,8,general
SASAK_SENT_000045,"Siq care nike telaksane selapuq saq temanikang siq Tuhan langan nabi-Ne, ""Tiang ngemanikang Bije Tiang leman Mesir.""",alkitab_sasak_Mat_2_15,17,general
SASAK_SENT_000046,"Sewaktu Herodes wikan bahwe ie sampun teakalang siq ahli-ahli bintang leman negeri timuq nike, Herodes jari menggah gati.",alkitab_sasak_Mat_2_16,18,general
SASAK_SENT_000047,Beterus prentahangne nyemateq selapuq kanak-kanak mame saq beumur leq bawaq due taun saq araq leq Betlehem dait sekiterne.,alkitab_sasak_Mat_2_16,18,general
SASAK_SENT_000048,"Hal nike sesuai keterangan saq ie terimaq leman ahli-ahli bintang, mengenai piran waktune bintang nike penggitan.",alkitab_sasak_Mat_2_16,16,general
SASAK_SENT_000049,"Siq care nike telaksane napi saq sampun tesampeang siq Nabi Yeremia,",alkitab_sasak_Mat_2_17,11,general
SASAK_SENT_000050,"""Leq Rama kedengahan suare tangisan, dait suare dengan ngerung eroq aseq.",alkitab_sasak_Mat_2_18,11,general
SASAK_SENT_000051,"Rahel tangis bije-bijene; ie ndeq mele tehibur sengaq bije-bijene sampun ndeq araq.""",alkitab_sasak_Mat_2_18,12,general
SASAK_SENT_000052,"Sesampun Herodes ninggal, sewaktu Yusup masih araq leq Mesir, sopoq malaekat Tuhan rauh malik ojok Yusup leq dalem impi.",alkitab_sasak_Mat_2_19,19,general
SASAK_SENT_000053,"Malaekat nike bemanik, ""Dengan-dengan saq beniat nyemateq Kanak nike sampun ninggal.",alkitab_sasak_Mat_2_20,11,general
SASAK_SENT_000054,"Keranaq nike ures, jauq Kanak nike dait mamiq bini-Ne tulak ojok Israel.""",alkitab_sasak_Mat_2_20,12,general
SASAK_SENT_000055,"Beterus Yusup ures, dait jauqne Kanak nike kance mamiq bini-Ne tulak ojok wilayah Israel.",alkitab_sasak_Mat_2_21,14,general
SASAK_SENT_000056,"Laguq sesampun tedengah siq Yusup bahwe Arkelaus, bije Herodes sampun jari raje leq negeri Yudea gentiq bapaqne, Yusup ndeq bani lumbar ojok derike.",alkitab_sasak_Mat_2_22,23,general
SASAK_SENT_000057,"Sesampun teican petunjuk langan impi, ie lumbar ojok daerah Galilea.",alkitab_sasak_Mat_2_22,10,general
SASAK_SENT_000058,Leq derike ie ndot leq sopoq kote aranne Nazaret.,alkitab_sasak_Mat_2_23,9,general
SASAK_SENT_000059,"Siq care nike telaksane napi saq tesampeang siq nabi-nabi mengenai Kanak nike: ""Ie gen tesebut Dengan Nazaret.""",alkitab_sasak_Mat_2_23,17,general
SASAK_SENT_000060,Leq waktu nike rauh Yahya Pembaptis leq padang gurun leq Yudea dait mulai behotbah.,alkitab_sasak_Mat_3_1,14,general
SASAK_SENT_000061,"""Pade tobat leman dose-dosende, sengaq Kerajaan Sorge sampun rapet!""",alkitab_sasak_Mat_3_2,9,general
SASAK_SENT_000062,"Yahya niki saq temaksut siq Nabi Yesaya sewaktu ie nyampeang niki, ""Araq dengan saq bekuih-kuih leq padang gurun, 'Pade siepang langan umaq Tuhan; dait rateang langan umaq Ie.'""",alkitab_sasak_Mat_3_3,28,general
SASAK_SENT_000063,Yahya ngengadu jubah saq tepiaq leman bulu onte dait sabukne tepiaq leman lendong.,alkitab_sasak_Mat_3_4,13,general
SASAK_SENT_000064,Keloranne balang dait madulani gawah.,alkitab_sasak_Mat_3_4,5,general
SASAK_SENT_000065,"Luweq dengan dateng ojok Yahya, araq dengan-dengan saq dateng leman Yerusalem, leman selapuq daerah Yudea, dait leman selapuq daerah sekiter Kokoq Yordan.",alkitab_sasak_Mat_3_5,22,general
SASAK_SENT_000066,"Ie pade ngaku dose-dosene, beterus ie pade tebaptis siq Yahya leq Kokoq Yordan.",alkitab_sasak_Mat_3_6,13,general
SASAK_SENT_000067,Luweq endah dengan Saduki dait Parisi dateng mele tebaptis siq Yahya.,alkitab_sasak_Mat_3_7,11,general
SASAK_SENT_000068,"Laguq sewaktu ie serioq dengan-dengan nike dateng, Yahya bebase leq ie pade, ""Hai, side dengan jahat!",alkitab_sasak_Mat_3_7,16,general
SASAK_SENT_000069,Sai saq badaq bahwe side bau selamet leman hukuman Allah saq gen dateng?,alkitab_sasak_Mat_3_7,13,general
SASAK_SENT_000070,Nyatayang siq perbuatande bahwe side sampun betobat leman dose-dosende.,alkitab_sasak_Mat_3_8,9,general
SASAK_SENT_000071,"Ndaq paran, bahwe side bau bebase dalem angende: Ibrahim nike bapaq tiang pade!",alkitab_sasak_Mat_3_9,13,general
SASAK_SENT_000072,Tiang badaq side: Leman batu-batu niki endah Allah sanggup miaqang Ibrahim keturunan!,alkitab_sasak_Mat_3_9,12,general
SASAK_SENT_000073,Kandik sampun tesadangang jari ngerebaq lolo jangke akah-akahne.,alkitab_sasak_Mat_3_10,8,general
SASAK_SENT_000074,"Sebilang lolo saq ndeq ngasilang buaq saq solah, gen terebaq dait teteteh ojok dalem api.",alkitab_sasak_Mat_3_10,15,general
SASAK_SENT_000075,Tiang baptis side kadu aiq jari tande bahwe side sampun betobat leman dose-dosende.,alkitab_sasak_Mat_3_11,13,general
SASAK_SENT_000076,"Laguq Ie saq gen rauh pungkuran leman tiang, gen baptis side kadu Roh Suci dait api.",alkitab_sasak_Mat_3_11,16,general
SASAK_SENT_000077,Kuase-Ne beleqan leman tiang.,alkitab_sasak_Mat_3_11,4,general
SASAK_SENT_000078,Jari jauq sepatu-Ne doang tiang ndeq patut.,alkitab_sasak_Mat_3_11,7,general
SASAK_SENT_000079,"Leq gading-Ne araq kleong jari nampiq selapuq gandum-Ne jangke bersi; selapuq gandumne gen Ie kumpulang leq dalem lumbung, laguq selapuq gambasne gen Ie tunuq leq dalem api saq ndeq iniq pedaq.""",alkitab_sasak_Mat_3_12,31,general
SASAK_SENT_000080,Beterus Deside Isa rauh leman Galilea ojok Kokoq Yordan gen bedait kance Yahya jari tebaptis siq ie.,alkitab_sasak_Mat_3_13,17,general
SASAK_SENT_000081,Laguq Yahya berusahe nolaq napi saq Deside Isa kayunang.,alkitab_sasak_Mat_3_14,9,general
SASAK_SENT_000082,"Yahya matur leq Deside Isa, ""Tiang niki saq sepatutne tebaptis siq Pelungguh, mangkin malahan Pelungguh saq rauh ojok tiang.""",alkitab_sasak_Mat_3_14,19,general
SASAK_SENT_000083,"Laguq jawab Deside Isa, ""Alurang hal nike telaksane, sengaq siq care nike ite ngelaksaneang selapuq saq tekayunang siq Allah."" Beterus Yahya baptis Deside Isa.",alkitab_sasak_Mat_3_15,24,general
SASAK_SENT_000084,"Sesampun tebaptis, Deside Isa sugul leman aiq kokoq nike.",alkitab_sasak_Mat_3_16,9,general
SASAK_SENT_000085,"Selung-selung langit kebukaq, beterus Deside Isa cingakin Roh Allah turun ojok atas-Ne maraq ruen kedit dare.",alkitab_sasak_Mat_3_16,16,general
SASAK_SENT_000086,"Beterus kedengahan suare leman sorge, ""Niki Bije Tiang saq Tiang kasihin, Ie nyenengang Tiang.""",alkitab_sasak_Mat_3_17,14,general
SASAK_SENT_000087,Sesampun nike Deside Isa tebimbing siq Roh Allah ojok padang gurun jari tecobe siq Belis.,alkitab_sasak_Mat_4_1,15,general
SASAK_SENT_000088,Petang dase jelo petang dase kelem Deside Isa puase beterus Ie beridap seduk.,alkitab_sasak_Mat_4_2,13,general
SASAK_SENT_000089,"Beterus Belis dateng dait matur, ""Lamun Pelungguh Bije saq asalne leman Allah, cobaq prentahang batu-batu niki jari ruti.""",alkitab_sasak_Mat_4_3,18,general
SASAK_SENT_000090,"Jawab Deside Isa, ""Araq tetulis leq dalem Kitab Suci bahwe: Manusie ndeqne idup leman ruti doang, laguq endah leman sebilang manik saq temanikang siq Allah.""",alkitab_sasak_Mat_4_4,25,general
SASAK_SENT_000091,"Sesampun nike, Deside Isa tebimbing siq Belis ojok kote suci Yerusalem, terus toloqne Deside Isa leq atas buwung Gedeng Allah.",alkitab_sasak_Mat_4_5,20,general
SASAK_SENT_000092,"Beterus Belis matur leq Deside Isa, ""Lamun Pelungguh Bije saq asalne leman Allah, cobaq Pelungguh nimproh ojok bawaq.",alkitab_sasak_Mat_4_6,18,general
SASAK_SENT_000093,"Sengaq araq tetulis leq dalem Kitab Suci bahwe, 'Allah gen mrentahang malaekat-malaekat-Ne ngelindungin Pelungguh, ie pade gen sangklap Pelungguh siq imene, adeq cokor Pelungguh nenten kedantuk leq batu.'""",alkitab_sasak_Mat_4_6,28,general
SASAK_SENT_000094,"Jawab Deside Isa, ""Laguq leq dalem Kitab Suci tetulis endah, 'Ndaq side cobe Tuhan Allah side!'""",alkitab_sasak_Mat_4_7,16,general
SASAK_SENT_000095,"Beterus jauqne malik Deside Isa ojok atas sopoq gunung saq atas gati, dait petitoqangne tipaq Deside Isa selapuq kerajaan leq dunie dait selapuq kesugihanne.",alkitab_sasak_Mat_4_8,24,general
SASAK_SENT_000096,"Belis nike matur leq Deside Isa, ""Selapuqne niki gen tiang serahang tipaq Pelungguh lamun Pelungguh sujut nyembah tiang.""",alkitab_sasak_Mat_4_9,18,general
SASAK_SENT_000097,"Jawab Deside Isa, ""Nyedi hai Belis!",alkitab_sasak_Mat_4_10,6,general
SASAK_SENT_000098,"Leq Kitab Suci araq tetulis: Pade sembah Tuhan Allahde dait tipaq Ie doang side beribadah!""",alkitab_sasak_Mat_4_10,15,general
SASAK_SENT_000099,"Ahirne Belis nike bilin Deside Isa, beterus malaekat-malaekat rauh ngelayanin Ie.",alkitab_sasak_Mat_4_11,11,general
SASAK_SENT_000100,"Sewaktu Deside Isa mirengang kabar bahwe Yahya tetamaq ojok bui, Ie nyingkir ojok Galilea.",alkitab_sasak_Mat_4_12,14,general
SASAK_SENT_000101,"Deside Isa lumbar leman Nazaret beterus meneng leq Kapernaum, leq sedin Danao Galilea leq daerah Zebulon dait Naptali.",alkitab_sasak_Mat_4_13,18,general
SASAK_SENT_000102,"Sengaq Deside Isa ngelaksaneang hal nike, make telaksane napi saq tesampeang siq Nabi Yesaya:",alkitab_sasak_Mat_4_14,14,general
SASAK_SENT_000103,"""Tanaq Zebulon dait tanaq Naptali, langan ojok segare, daerah itoqan Kokoq Yordan, Galilea, wilayahne bangse-bangse lain!",alkitab_sasak_Mat_4_15,16,general
SASAK_SENT_000104,"Bangse saq endot leq dalem peteng, sampun serioq Terang saq menah tandur!",alkitab_sasak_Mat_4_16,12,general
SASAK_SENT_000105,"Tipaq saq endot leq negeri saq tekudung siq peteng maut sampun tiwoq Terang!""",alkitab_sasak_Mat_4_16,13,general
SASAK_SENT_000106,"Mulai leman waktu nike Deside Isa behotbah, ""Pade tobat leman dose-dosende, sengaq Kerajaan Sorge sampun rapet!""",alkitab_sasak_Mat_4_17,16,general
SASAK_SENT_000107,"Sewaktu Deside Isa bemargi leq sedin Danao Galilea, Ie cingakin due dengan besemetonan, Simon (saq tesebut endah Petrus) dait adiqne aranne Andreas.",alkitab_sasak_Mat_4_18,22,general
SASAK_SENT_000108,Ie pade kenyeke bau empaq Kadu jaring leq danao nike.,alkitab_sasak_Mat_4_18,10,general
SASAK_SENT_000109,"Deside Isa bemanik leq ie pade, ""Silaq turut Tiang, Tiang gen jariang side pade penjaring manusie.""",alkitab_sasak_Mat_4_19,16,general
SASAK_SENT_000110,Langsung deduaqne bilin jaringne terus ngiring Deside Isa.,alkitab_sasak_Mat_4_20,8,general
SASAK_SENT_000111,"Deside Isa terus bemargi, dait cingakin endah due dengan besemetonan saq lain, aranne Yakub dait Yahya bije Zebedeus.",alkitab_sasak_Mat_4_21,18,general
SASAK_SENT_000112,Ie pade kenyeke ngeremaq jaringne kance amaqne leq dalem perau.,alkitab_sasak_Mat_4_21,10,general
SASAK_SENT_000113,"Ie pade temanikang endah siq Deside Isa,",alkitab_sasak_Mat_4_21,7,general
SASAK_SENT_000114,langsung ie pade bilin perau dait amaqne terus ngiring Deside Isa.,alkitab_sasak_Mat_4_22,11,general
SASAK_SENT_000115,Leq Galilea Deside Isa bemargi ojok selapuq wilayah negeri; Ie ngajahang leq bale-bale ibadah dait nyampeang Kabar Solah mengenai Kerajaan Allah.,alkitab_sasak_Mat_4_23,21,general
SASAK_SENT_000116,Deside Isa nyelahang dengan-dengan saq ngidap segale macem penyakit dait saq awakne cacat.,alkitab_sasak_Mat_4_23,13,general
SASAK_SENT_000117,"Kabar mengenai Deside Isa nike nyebar leq selapuq daerah Siria, sehingge luweq dengan dateng ojok Ie jauq dengan-dengan saq ngidap segale macem penyakit dait saq susah.",alkitab_sasak_Mat_4_24,26,general
SASAK_SENT_000118,"Dengan-dengan saq tekuasein siq roh jahat, saq sakit mopok, dait saq kepaq, selapuqne teselahang siq Deside Isa.",alkitab_sasak_Mat_4_24,17,general
SASAK_SENT_000119,Luweq gati dengan saq ngiring Deside Isa leq waktu nike.,alkitab_sasak_Mat_4_25,10,general
SASAK_SENT_000120,"Araq saq dateng leman Galilea dait leman Dekapolis, leman Yerusalem, leman Yudea, dait leman itoqan Kokoq Yordan.",alkitab_sasak_Mat_4_25,17,general
SASAK_SENT_000121,"Sewaktu Deside Isa cingakin dengan luweq nike, Ie taek ojok atas bukit.",alkitab_sasak_Mat_5_1,12,general
SASAK_SENT_000122,"Sesampun Ie melinggih, pengiring-pengiring-Ne parek ojok Ie,",alkitab_sasak_Mat_5_1,7,general
SASAK_SENT_000123,beterus Ie mulai bebaos dait ngajah ie pade:,alkitab_sasak_Mat_5_2,8,general
SASAK_SENT_000124,"""Bahagie dengan saq miskin leq arepan Allah; sengaq ie pade saq doweang Kerajaan Sorge!",alkitab_sasak_Mat_5_3,14,general
SASAK_SENT_000125,Bahagie dengan saq sedih angenne; sengaq ie pade gen tehibur.,alkitab_sasak_Mat_5_4,10,general
SASAK_SENT_000126,Bahagie dengan saq lemah lembut; sengaq ie pade gen doweang gumi!,alkitab_sasak_Mat_5_5,11,general
SASAK_SENT_000127,Bahagie dengan saq tetu-tetu melet ngelaksaneang kebenaran; sengaq ie pade gen tepuasang!,alkitab_sasak_Mat_5_6,12,general
SASAK_SENT_000128,Bahagie dengan saq murah ate; sengaq ie pade gen nerimaq kemurahan!,alkitab_sasak_Mat_5_7,11,general
SASAK_SENT_000129,Bahagie dengan saq suci atene; sengaq ie pade gen serioq Allah.,alkitab_sasak_Mat_5_8,11,general
SASAK_SENT_000130,Bahagie dengan saq jauq dame; sengaq ie pade gen tesebut bije-bije dowen Allah!,alkitab_sasak_Mat_5_9,13,general
SASAK_SENT_000131,"Bahagie dengan saq teaniaye lantaran kebenaran, sengaq ie pade saq doweang Kerajaan Sorge!",alkitab_sasak_Mat_5_10,13,general
SASAK_SENT_000132,"Bahagie side pade, lamun lantaran Tiang side pade tecele dait teaniaye, dait tepitnah.",alkitab_sasak_Mat_5_11,13,general
SASAK_SENT_000133,"Besukecite dait gembire, sengaq upaqde beleq leq sorge, sengaq maraq nike endah sampun teaniaye nabi-nabi saq sendeqman side.""",alkitab_sasak_Mat_5_12,18,general
SASAK_SENT_000134,"""Side pade sie dunie.",alkitab_sasak_Mat_5_13,4,general
SASAK_SENT_000135,"Lamun sie jari tawah, napi bau ie tepaeqang malik?",alkitab_sasak_Mat_5_13,9,general
SASAK_SENT_000136,"Ndeq araq manpaatne malik, ie gen teteteh dait teicaq-icaq siq dengan.",alkitab_sasak_Mat_5_13,11,general
SASAK_SENT_000137,Side pade terang dunie.,alkitab_sasak_Mat_5_14,4,general
SASAK_SENT_000138,"Kote saq araq leq atas bukit, ndeq bau teseboq.",alkitab_sasak_Mat_5_14,9,general
SASAK_SENT_000139,"Ndeq araq dengan saq nyalaqang dilah, terus kudungne dilah nike siq tepaq.",alkitab_sasak_Mat_5_15,12,general
SASAK_SENT_000140,"Malahan ie gen toloq dilah nike leq nae dilah, adeqne bau ngebeng cahaye tipaq sebilang dengan leq dalem bale.",alkitab_sasak_Mat_5_15,19,general
SASAK_SENT_000141,"Maraq nike endah cahayende harus besinar leq julu dengan, adeq ie pade serioq perbuatan-perbuatande saq solah, terus ie pade mulieang Bapa side leq sorge.""",alkitab_sasak_Mat_5_16,24,general
SASAK_SENT_000142,"""Ndaq beranggepan bahwe Tiang dateng jari ngapus Hukum Taurat dait kitab nabi-nabi.",alkitab_sasak_Mat_5_17,12,general
SASAK_SENT_000143,"Tiang dateng ndeqne jari ngapus hukum nike, laguq jari genepang hukum nike.",alkitab_sasak_Mat_5_17,12,general
SASAK_SENT_000144,Setetune Tiang badaq side!,alkitab_sasak_Mat_5_18,4,general
SASAK_SENT_000145,"Sengoneq langit dait gumi masih araq, timaq sopoq hurup atao titik saq paling kodeq leq dalem hukum nike ndeq gen teapus lamun selapuqne ndeqman telaksane!",alkitab_sasak_Mat_5_18,25,general
SASAK_SENT_000146,"Keranaq nike, sai-sai saq ngelanggar salaq sopoq leman prentah-prentah nike, timaq nike bagian saq paling kodeq, dait ngajah dengan lain ngelaksaneang saq maraq nike endah, ie gen araq leq taoq saq paling bawaq leq dalem Kerajaan Sorge.",alkitab_sasak_Mat_5_19,37,general
SASAK_SENT_000147,"Laguq sai-sai saq taat ngelaksaneang dait ngajahang selapuq prentah-prentah Hukum Taurat, ie gen araq leq taoq saq paling atas leq dalem Kerajaan Sorge.",alkitab_sasak_Mat_5_19,23,general
SASAK_SENT_000148,"Make Tiang badaq side: Lamun idupde dalem beragame ndeqne solahan leman ahli-ahli Taurat atao dengan Parisi, setetune side ndeq bau tame leq dalem Kerajaan Sorge!""",alkitab_sasak_Mat_5_20,25,general
SASAK_SENT_000149,"""Side sampun dengah manik saq tesampeang langan leluhurte: Ndaq nyemateq; sai-sai saq nyemateq harus tehukum.",alkitab_sasak_Mat_5_21,15,general
SASAK_SENT_000150,"Laguq Tiang badaq side, sebilang dengan saq gedek leq semetonne harus tehukum; sai juaq saq bebase leq semetonne: Kapir!",alkitab_sasak_Mat_5_22,19,general
SASAK_SENT_000151,Harus teadilin leq julu Mahkamah Agame.,alkitab_sasak_Mat_5_22,6,general
SASAK_SENT_000152,"Dait sai-sai saq bebase ""Jahil"", harus teteteh ojok dalem api nerake.",alkitab_sasak_Mat_5_22,11,general
SASAK_SENT_000153,"Keranaq nike, lamun side kenyeke ngaturang persembahan leq atas meje taoq kurban, terus inget bahwe araq dengan saq sakit ate leq side,",alkitab_sasak_Mat_5_23,22,general
SASAK_SENT_000154,"side harus bilin juluq persembahande nike leq julu meje taoq kurban, terus lumbar bedame kance dengan nike, terus tulak malik ngaturang persembahande nike.",alkitab_sasak_Mat_5_24,23,general
SASAK_SENT_000155,"Seandene araq dengan ngelaporang side ojok pengadilan, usaheang juluq bedame kance ie sengoneq side masih bareng kance ie leq tengaq langan, adeq musuhde nike ndeq nyerahang side ojok hakim, saq gen nyerahang side ojok petugas, terus petugas nike gen tamaq side ojok dalem bui.",alkitab_sasak_Mat_5_25,44,general
SASAK_SENT_000156,"Tiang badaq side: Setetune side ndeq gen sugul leman bui sendeqman side bayah utangde jangke lunas.""",alkitab_sasak_Mat_5_26,16,general
SASAK_SENT_000157,"""Side pade nenaoq bahwe araq Manik Allah maraq niki: Ndaq bezinah.",alkitab_sasak_Mat_5_27,11,general
SASAK_SENT_000158,"Laguq mangkin Tiang badaq side: Sai-sai saq serioq dengan nine siq napsu birahine, artine dengan nike sampun bezinah kance dengan nine nike leq dalem angenne.",alkitab_sasak_Mat_5_28,25,general
SASAK_SENT_000159,"Lamun penentengde saq kanan jari penyebap side bedose, luit dait teteh penenteng nike!",alkitab_sasak_Mat_5_29,13,general
SASAK_SENT_000160,Solahan side kelangan salaq sopoq bagian leman awakde ketimbang selapuq awakde teteteh ojok api nerake.,alkitab_sasak_Mat_5_29,15,general
SASAK_SENT_000161,"Lamun ime kanande jari penyebap side bedose, peleng dait teteh ime nike!",alkitab_sasak_Mat_5_30,12,general
